Bug ID,Component,Severity,Priority,OS,Assignee
968439,Sync,normal,P1,Mac OS X,markh
970013,Bookmarks & History,normal, --,Windows 8,gijskruitbosch+bugs
971948,Theme,normal, --,All,jaws
972822,Toolbars and Customization,normal, --,Linux,gijskruitbosch+bugs
979571,Developer Tools: Debugger,normal, --,Mac OS X,jjurovych
980534,Toolbars and Customization,normal, --,Windows 8.1,gijskruitbosch+bugs
983768,Toolbars and Customization,trivial, --,All,mdeboer
983828,Theme,normal, --,All,mixedpuppy
985423,Developer Tools,normal, --,All,past
992275,Developer Tools: Debugger,normal, --,Linux,jlong
993402,Preferences,normal, --,Linux,richard.marti
1001821,Developer Tools: Inspector,normal, --,All,sjakthol
1007425,Developer Tools: Console,normal,P3,Linux,gbrown
1007978,Extension Compatibility,normal, --,All,mconley
1029459,Developer Tools: Inspector,normal, --,All,ttromey
1056438,Session Restore,critical, --,Windows 7,mconley
1080055,Tabbed Browser,normal, --,Linux,dtownsend
1083140,Developer Tools: WebIDE,normal,P3,Linux,jmaher
1095236,General,normal, --,All,mconley
1104054,Device Permissions,normal, --,All,florian
1107969,Session Restore,normal,P3,Linux,mdeboer
1108302,Preferences,normal,P1,Mac OS X,jaws
1114299,General,normal, --,All,mconley
1118974,Developer Tools: WebIDE,normal, --,Linux,jryans
1130411,Preferences,normal, --,Windows 8.1,gijskruitbosch+bugs
1133569,General,normal, --,Mac OS X,enndeakin
1135508,Preferences,normal, --,All,gioyik
1148086,Developer Tools: Style Editor,normal, --,All,sjakthol
1163024,Developer Tools: Netmonitor,normal, --,All,past
1163212,Developer Tools: Debugger,normal, --,Windows 8,matt.woodrow
1164569,Security,normal, --,Windows 10,pollti
1166013,General,normal,P5,Linux,mrbkap
1177324,Developer Tools: Console,normal, --,All,nchevobbe
1179395,General,major,P2,Windows 10,gijskruitbosch+bugs
1179542,Menus,normal,P3,All,michael
1186732,Extension Compatibility,normal, --,All,bobbyholley
1246522,Developer Tools: Inspector,normal, --,All,jryans
1250980,Search,normal, --,All,mak77
1253227,Bookmarks & History,normal, --,All,ayx002
1268738,Developer Tools: Inspector,normal,P2,All,moz-ian
1269462,Toolbars and Customization,normal, --,Mac OS X,gijskruitbosch+bugs
1283329,Location Bar,normal,P1,Linux,mak77
1283909,General,normal, --,Windows 10,kbroida
1287292,Untriaged,critical, --,All,erahm
1327691,Developer Tools: CSS Rules Inspector,normal,P3,All,3ugzilla
1328737,Sync,normal,P1,All,tchiovoloni
