Bug ID,Component,Severity,Priority,OS,Assignee
694870,File Handling,normal, --,Linux,alexhenrie24
698371,General,normal,P2,All,jmathies
708643,Developer Tools: Inspector,normal, --,Mac OS X,nobody
712868,Developer Tools: Inspector,normal, --,Windows 7,vporof
714509,Extension Compatibility,normal, --,Linux,cyberscorpio
728508,Search,normal, --,All,nobody
730618,Build Config,normal, --,All,bhearsum
736879,Developer Tools: Source Editor,normal,P3,Windows 7,anton
738967,PDF Viewer,normal,P1,All,ydelendik
750953,General,major, --,All,justin.lebar+bug
751739,Developer Tools: Scratchpad,normal,P3,All,anton
758857,Search,normal, --,All,a9016009
762608,Developer Tools: Console,normal, --,Mac OS X,mihai.sucan
790325,Search,normal, --,Windows XP,nobody
793138,Developer Tools: Inspector,normal, --,All,mratcliffe
797032,Installer,trivial, --,Windows XP,nobody
806046,General,normal, --,Windows XP,adw
806397,SocialAPI: Providers,blocker,P1,All,nobody
816697,Untriaged,normal, --,Windows 7,nobody
824021,Session Restore,normal, --,All,ttaubert
828780,Private Browsing,normal, --,Mac OS X,ehsan
829360,Private Browsing,normal, --,Mac OS X,josh
842290,Private Browsing,normal, --,Windows 7,josh
843597,Developer Tools: Scratchpad,normal,P3,All,nobody
845752,Developer Tools,normal, --,Windows 7,scrapmachines
852504,PDF Viewer,normal, --,Windows 7,nobody
853415,Tabbed Browser,normal, --,Mac OS X,gijskruitbosch+bugs
854420,PDF Viewer,normal,P2,Mac OS X,nobody
855811,Developer Tools: Debugger,normal, --,Mac OS X,vporof
859351,PDF Viewer,normal, --,Windows 7,nobody
863996,PDF Viewer,normal, --,Windows XP,nobody
866928,Toolbars and Customization,normal, --,All,mdeboer
867992,Developer Tools: Console,normal, --,Windows 8,mihai.sucan
873110,Shell Integration,critical, --,Windows 7,nobody
874819,Toolbars and Customization,normal, --,Windows 7,gijskruitbosch+bugs
883487,Untriaged,normal, --,Linux,nobody
888967,Preferences,normal, --,All,mrbkap
897163,Preferences,normal, --,Linux,ehsan
901930,Developer Tools: Debugger,normal,P2,Windows 7,past
921850,Developer Tools: WebIDE,normal,P1,Mac OS X,poirot.alex
923940,Developer Tools: Graphic Commandline and Toolbar,normal, --,All,gabrielfrancosouza
924914,General,normal,P2,Windows 8.1,msamuel
927449,Developer Tools: WebIDE,normal,P1,All,iseki.m.aa
930094,Toolbars and Customization,normal, --,Mac OS X,mconley
930685,Developer Tools: Debugger,normal,P3,All,mihai.sucan
941226,Toolbars and Customization,normal, --,Windows 8.1,gijskruitbosch+bugs
945739,Toolbars and Customization,normal, --,All,gijskruitbosch+bugs
946450,New Tab Page,normal,P1,All,evilpies
947569,Developer Tools: Netmonitor,normal, --,Mac OS X,vporof
948884,General,normal, --,All,linpyong
951479,New Tab Page,normal, --,Windows 8.1,nobody
957228,Toolbars and Customization,normal, --,Windows 7,nobody
961535,Toolbars and Customization,normal, --,Windows 7,gijskruitbosch+bugs
963358,Tabbed Browser,normal, --,All,mconley
964244,Toolbars and Customization,normal, --,All,jaws
966342,Sync,normal, --,All,gavin.sharp
968439,Sync,normal,P1,Mac OS X,markh
970013,Bookmarks & History,normal, --,Windows 8,gijskruitbosch+bugs
971948,Theme,normal, --,All,jaws
972822,Toolbars and Customization,normal, --,Linux,gijskruitbosch+bugs
979571,Developer Tools: Debugger,normal, --,Mac OS X,jjurovych
980534,Toolbars and Customization,normal, --,Windows 8.1,gijskruitbosch+bugs
983768,Toolbars and Customization,trivial, --,All,mdeboer
983828,Theme,normal, --,All,mixedpuppy
985423,Developer Tools,normal, --,All,past
992275,Developer Tools: Debugger,normal, --,Linux,jlong
993402,Preferences,normal, --,Linux,richard.marti
994750,Theme,normal, --,All,nobody
1001821,Developer Tools: Inspector,normal, --,All,sjakthol
1007425,Developer Tools: Console,normal,P3,Linux,gbrown
1007978,Extension Compatibility,normal, --,All,mconley
1013692,Preferences,normal, --,Mac OS X,nobody
1029459,Developer Tools: Inspector,normal, --,All,ttromey
1049961,PDF Viewer,normal, --,All,nobody
