Bug ID,Component,Severity,Priority,OS,Assignee
252466,General,critical, --,Linux,bugzilla
252497,General,normal, --,Windows XP,bugzilla
252512,General,normal, --,Linux,bugzilla
252545,General,normal, --,Windows 98,bugzilla
252675,Bookmarks & History,normal, --,Windows XP,vladimir+bm
252754,General,normal, --,Windows 2000,bugzilla
252767,General,normal, --,Linux,bugzilla
252781,Shell Integration,normal, --,Windows 2000,bugs
252942,Build Config,blocker, --,Linux,bryner
252976,General,normal, --,Windows XP,bugzilla
252990,General,normal, --,Linux,bugzilla
253018,General,normal, --,Windows XP,bugzilla
253028,Preferences,normal, --,Windows XP,bugzilla
253049,General,critical, --,FreeBSD,bugzilla
253155,General,major, --,Linux,bugzilla
253162,Tabbed Browser,trivial, --,Windows 2000,bugs
253201,General,normal, --,Windows 2000,bugzilla
253205,General,normal, --,Windows 95,bugzilla
253252,General,normal, --,Windows 2000,bugzilla
253274,General,normal, --,Linux,bugzilla
253381,General,normal, --,Windows 2000,bugzilla
253410,General,critical, --,Linux,bugzilla
253441,General,normal, --,Mac OS X,bugzilla
253500,General,major, --,Windows XP,bugzilla
253531,General,normal, --,Windows XP,bugzilla
253557,Bookmarks & History,normal, --,Windows XP,vladimir+bm
253577,General,normal, --,Windows XP,bugzilla
253600,General,normal, --,Windows XP,bugzilla
253612,Preferences,normal, --,Windows XP,bugzilla
253632,General,normal, --,Windows NT,bugzilla
253635,General,normal, --,Windows XP,bugzilla
253714,General,normal, --,Windows XP,bugzilla
253734,General,trivial, --,Windows XP,bugzilla
253762,General,normal, --,Windows XP,bugzilla
253962,General,normal, --,Windows XP,bugzilla
254076,General,normal, --,Windows 2000,bugzilla
254243,General,major, --,All,bugzilla
254250,General,normal, --,Windows XP,bugzilla
254269,Bookmarks & History,normal, --,Windows 2000,vladimir+bm
254363,General,normal, --,Windows XP,bugzilla
254450,Shell Integration,normal, --,Linux,bugs
254466,General,normal, --,Linux,bugzilla
254491,General,normal, --,Windows XP,bugzilla
254618,General,normal, --,Windows XP,bugzilla
254619,General,normal, --,Windows XP,bugzilla
254642,Preferences,normal, --,Linux,bugzilla
254645,General,minor, --,Windows XP,bugzilla
254651,General,normal, --,Windows XP,bugzilla
254680,General,normal, --,Windows 2000,bugzilla
254681,General,normal, --,Windows 2000,bugzilla
254692,Bookmarks & History,normal, --,Windows 98,vladimir+bm
254718,Bookmarks & History,normal, --,Windows 2000,vladimir+bm
254753,Migration,normal, --,Windows XP,bugs
254765,General,minor, --,Windows XP,bugzilla
254784,General,normal, --,Windows 2000,bugs
254815,File Handling,normal, --,Linux,bugs
254833,General,normal, --,Windows 2000,bugzilla
255090,General,critical, --,Linux,bugzilla
255091,General,normal, --,Linux,bugzilla
255157,Location Bar,minor, --,Linux,bugs
255206,General,critical, --,Windows XP,bugzilla
255263,General,normal, --,Linux,bugzilla
255318,Bookmarks & History,minor, --,Windows XP,vladimir+bm
255430,General,normal, --,Windows XP,bugzilla
255440,General,trivial, --,Windows XP,bugzilla
255445,General,trivial, --,Windows XP,bugzilla
255489,General,normal, --,Linux,bugzilla
255527,General,normal, --,Linux,bugzilla
255531,General,normal, --,Windows 2000,bugzilla
255539,General,minor, --,Linux,bugzilla
255592,General,normal, --,Linux,bugzilla
255598,Shell Integration,major, --,Windows XP,bugs
255644,General,trivial, --,Windows XP,bugzilla
255652,General,normal, --,Windows XP,bugzilla
255700,Bookmarks & History,major, --,Windows 98,vladimir+bm
255763,General,normal, --,Windows XP,bugzilla
255788,General,normal, --,Linux,bugzilla
255801,Tabbed Browser,normal, --,Windows XP,bugs
255817,General,minor, --,Windows XP,bugzilla
255832,General,normal, --,Windows XP,bugzilla
255846,Shell Integration,normal, --,Linux,bugs
255851,Bookmarks & History,normal, --,Windows XP,vladimir+bm
255882,General,critical, --,Windows 2000,bugzilla
255888,General,normal, --,Windows 98,bugzilla
255907,General,normal, --,Windows XP,bugzilla
255924,Bookmarks & History,normal, --,Windows XP,bugzilla
255987,Migration,normal, --,Windows XP,bugs
256055,Shell Integration,normal, --,Windows XP,bugs
256064,General,minor, --,Windows XP,bugzilla
256119,General,normal, --,Windows XP,bugzilla
256152,General,major, --,Linux,bugzilla
256186,General,normal, --,Windows XP,bugzilla
256361,General,normal, --,Windows XP,bugzilla
256377,General,minor, --,Windows 98,bugzilla
256428,General,normal, --,Mac OS X,bugs
256437,General,normal, --,Linux,bugzilla
256500,General,minor, --,Windows XP,bugzilla
256518,General,major, --,Windows XP,bugzilla
256539,General,normal, --,Windows 95,bugzilla
256568,General,normal, --,Windows XP,bugzilla
256572,General,normal, --,Windows XP,bugzilla
256602,General,major, --,Mac OS X,bugzilla
256651,General,major, --,Windows XP,bugs
256659,General,minor, --,Windows XP,bugzilla
256774,General,normal, --,Mac OS X,bugzilla
256786,General,normal, --,Windows 98,bugzilla
256795,General,critical, --,Windows XP,bugzilla
256864,General,normal, --,Windows XP,bugzilla
256873,Bookmarks & History,normal, --,Windows XP,vladimir+bm
256923,General,critical, --,Windows XP,bugzilla
256948,General,major, --,Windows XP,bugzilla
257025,General,major, --,Mac OS X,bugzilla
257029,Preferences,normal, --,Windows XP,bugzilla
257042,General,normal, --,Windows ME,bugs
257122,General,normal, --,Windows 2000,bugzilla
257184,General,normal, --,All,bugzilla
257222,General,normal, --,Windows XP,bugzilla
257245,General,normal, --,Linux,bugzilla
257357,Shell Integration,normal, --,Linux,bugs
257439,Shell Integration,minor, --,Linux,bugs
257459,General,normal, --,Mac OS X,bugzilla
257643,File Handling,minor, --,Windows XP,bugs
257750,General,major, --,Linux,bugzilla
257770,General,normal, --,Windows 2000,bugzilla
257969,Shell Integration,major, --,Windows XP,bugs
258021,General,major, --,Windows XP,bugzilla
258057,General,critical, --,Linux,bugzilla
258161,General,major, --,Windows XP,bugzilla
258162,General,major, --,Windows 2000,bugzilla
258181,General,normal, --,Linux,bugzilla
258269,General,major, --,Linux,bugzilla
258271,General,minor, --,Windows ME,bugzilla
258329,File Handling,normal, --,Windows XP,bugs
258334,General,normal, --,Windows XP,bugzilla
258385,Tabbed Browser,normal, --,Windows 98,bugs
258422,General,major, --,Windows XP,bugzilla
258436,General,major, --,Windows XP,bugzilla
258633,General,normal, --,Windows XP,bugzilla
258674,General,normal, --,All,bugzilla
258690,Tabbed Browser,trivial, --,Windows XP,bugs
258719,General,major, --,All,bugzilla
258723,General,major, --,Windows 98,bugzilla
258961,General,normal, --,Windows XP,bugs
258965,Build Config,major, --,Linux,bryner
258971,General,critical, --,FreeBSD,bugzilla
259179,Preferences,normal, --,All,bugzilla
259208,Preferences,normal, --,Windows XP,bugzilla
259297,General,normal, --,Linux,bugzilla
259301,General,critical, --,Windows XP,bugzilla
259316,General,normal, --,Windows XP,bugzilla
259330,General,normal, --,Windows XP,bugzilla
259352,General,minor, --,Windows 2000,bugzilla
259388,General,critical, --,Linux,bugzilla
259420,General,normal, --,Windows XP,bugzilla
259426,General,normal, --,Linux,bugzilla
259432,General,normal, --,Windows XP,bugzilla
259449,General,normal, --,Linux,bugzilla
259456,Shell Integration,normal, --,Windows XP,bugs
259600,General,critical, --,Mac OS X,bugzilla
259608,General,normal, --,Windows 98,bugzilla
259622,Shell Integration,normal, --,Windows XP,bugs
259654,Location Bar,critical, --,Windows XP,bugs
259665,General,normal, --,Linux,bugzilla
259697,General,normal, --,Linux,bugzilla
259762,General,normal, --,Windows XP,bugzilla
259768,General,normal, --,Windows 2000,bugs
259776,General,normal, --,Linux,bugzilla
259824,General,normal, --,Windows 2000,bugzilla
259850,General,normal, --,Linux,bugzilla
259860,General,critical, --,Linux,bugzilla
259877,General,normal, --,Windows XP,bugzilla
259899,File Handling,normal, --,Windows 2000,bugs
259940,General,critical, --,Windows 2000,bugzilla
259994,Bookmarks & History,normal, --,Windows XP,vladimir+bm
260002,General,normal, --,Windows 2000,bugzilla
260035,General,normal, --,Windows NT,bugzilla
260062,General,normal, --,Windows XP,general
260091,General,normal, --,Windows XP,bugzilla
260103,Shell Integration,normal, --,Linux,bugs
260153,General,normal, --,Windows XP,bugzilla
260155,File Handling,major, --,Windows XP,bugs
260204,General,normal, --,Windows XP,bugzilla
260238,Bookmarks & History,normal, --,Windows XP,vladimir+bm
260255,General,major, --,Linux,bugzilla
260258,General,major, --,Linux,bugzilla
260286,General,major, --,Windows XP,bugzilla
260321,General,critical, --,Windows XP,bugzilla
260428,General,normal, --,Linux,bugzilla
260438,General,minor, --,Windows XP,bugzilla
260451,Bookmarks & History,critical, --,Windows 98,vladimir+bm
260452,General,critical, --,All,bugzilla
260537,Shell Integration,normal, --,Windows XP,bugs
260565,General,major, --,Windows 2000,bugzilla
260579,General,normal, --,Windows XP,bugzilla
260613,General,normal, --,Windows XP,bugzilla
260654,General,normal, --,Windows XP,bugzilla
260695,General,normal, --,Windows 2000,bugzilla
260721,General,major, --,Windows XP,bugzilla
260768,General,normal, --,Windows 98,bugzilla
260802,Migration,critical, --,All,bugs
260826,Migration,normal, --,Windows XP,bugs
260827,General,major, --,Windows 2000,bugzilla
260851,Migration,normal, --,Windows XP,bugs
260950,General,minor, --,Windows 2000,bugzilla
260976,General,normal, --,Windows 2000,bugzilla
261005,Bookmarks & History,major, --,Windows XP,vladimir+bm
261019,General,normal, --,Linux,bugzilla
261038,General,normal, --,Windows 2000,bugzilla
261118,General,normal, --,Windows XP,bugzilla
261122,Bookmarks & History,normal, --,Windows 2000,bugzilla
261131,General,trivial, --,Linux,bugzilla
261159,General,normal, --,Windows 2000,bugzilla
261169,General,normal, --,Windows 2000,bugzilla
261198,Migration,trivial, --,Windows XP,bugs
261265,General,critical, --,Windows XP,bugzilla
261292,General,critical, --,Linux,bugzilla
261323,General,normal, --,Windows 98,bugzilla
261330,General,minor, --,Windows XP,bugzilla
261412,General,normal, --,Windows XP,bugzilla
261444,General,normal, --,Windows 2000,bugzilla
261500,General,normal, --,Windows XP,bugzilla
261533,General,normal, --,Windows XP,bugzilla
261536,General,normal, --,Windows 2000,bugzilla
261595,General,normal, --,Windows XP,bugzilla
261648,General,normal, --,Windows XP,bugzilla
261688,General,normal, --,Windows ME,bugzilla
261732,Tabbed Browser,normal, --,Linux,bugs
261755,Shell Integration,normal, --,Linux,bugs
261774,General,critical, --,Linux,bugzilla
261782,General,normal, --,Windows XP,general
261805,General,critical, --,Linux,bugzilla
261809,General,minor, --,Windows 2000,bugzilla
261848,General,normal, --,Windows 2000,bugzilla
261893,General,minor, --,Windows 98,bugzilla
261895,General,critical, --,Linux,bugzilla
261935,General,normal, --,Windows XP,bugzilla
261943,General,normal, --,Windows ME,general
261955,Disability Access,normal, --,Linux,aaronlev
261976,General,normal, --,Windows 2000,general
262035,General,major, --,Windows XP,bugzilla
262105,General,normal, --,Windows XP,bugzilla
262150,General,normal, --,Windows XP,bugzilla
262158,General,major, --,Linux,bugzilla
262200,General,normal, --,Windows XP,bugzilla
262214,General,normal, --,Linux,bugzilla
262233,General,major, --,Windows XP,bugzilla
262291,General,trivial, --,Windows 2000,bugzilla
262514,General,normal, --,Linux,bugzilla
262615,General,critical, --,Windows ME,bugzilla
262638,General,trivial, --,Windows XP,bugzilla
262697,General,normal, --,Windows XP,bugzilla
262788,Migration,critical, --,Windows 2000,bugs
262813,Tabbed Browser,normal, --,SunOS,bugs
262837,General,normal, --,Linux,bugzilla
262849,General,normal, --,Windows XP,bugzilla
262950,Bookmarks & History,major, --,Windows 2000,vladimir+bm
262958,Search,major, --,Windows XP,p_ch
262994,General,minor, --,Linux,bugzilla
263068,General,normal, --,Windows 98,bugzilla
263085,General,normal, --,Windows XP,bugzilla
263110,File Handling,major, --,Windows XP,bugs
263125,Shell Integration,normal, --,Windows 98,bugs
263184,General,major, --,Mac OS X,bugzilla
263237,General,normal, --,Windows XP,bugzilla
263256,General,major, --,Linux,bugzilla
263278,Bookmarks & History,normal, --,Windows 2000,vladimir+bm
263287,General,normal, --,Windows Server 2003,bugzilla
263361,Shell Integration,normal, --,Windows XP,bugs
263408,General,normal, --,Windows XP,bugzilla
263415,General,normal, --,Mac OS X,bugzilla
263467,General,normal, --,Mac OS X,bugzilla
263483,General,critical, --,Windows XP,bugzilla
263504,General,normal, --,Windows XP,bugzilla
263558,General,normal, --,Windows XP,bugzilla
263559,General,normal, --,Mac OS X,bugzilla
263577,General,normal, --,Windows 2000,bugzilla
263588,General,critical, --,Windows XP,bugzilla
263593,General,normal, --,Windows 98,bugzilla
263611,Preferences,minor, --,Windows XP,bugzilla
263616,General,normal, --,Windows XP,bugzilla
263624,General,normal, --,Windows 98,bugzilla
263630,General,normal, --,Windows XP,bugzilla
263660,General,normal, --,Windows XP,bugzilla
263690,General,normal, --,Mac OS X,bugzilla
263722,General,normal, --,Windows 98,bugzilla
263727,General,normal, --,Windows XP,bugzilla
263740,General,normal, --,Windows XP,bugzilla
263763,Preferences,normal, --,Windows XP,bugzilla
263791,General,normal, --,Windows 2000,bugzilla
263793,General,critical, --,Linux,bugzilla
263808,General,major, --,Windows XP,bugzilla
263848,General,normal, --,Mac OS X,bugzilla
263884,General,normal, --,Windows XP,bugzilla
263885,General,normal, --,Windows XP,bugzilla
263907,General,normal, --,All,bugzilla
263950,General,normal, --,Windows XP,bugzilla
263958,General,normal, --,Windows XP,bugzilla
263975,General,critical, --,OSF/1,bugzilla
264004,General,major, --,Linux,bugzilla
264038,General,normal, --,Windows XP,bugzilla
264045,General,normal, --,Mac OS X,bugzilla
264048,General,normal, --,Linux,bugzilla
264119,General,minor, --,Windows XP,bugzilla
264137,General,normal, --,Windows XP,bugzilla
264173,General,normal, --,Linux,bugzilla
