Bug ID,Component,Severity,Priority,OS,Assignee
255445,General,trivial,P3,Windows XP,bugzilla
255489,General,normal,P3,Linux,bugzilla
255527,General,normal,P3,Linux,bugzilla
255531,General,normal,P3,Windows 2000,bugzilla
255539,General,minor,P3,Linux,bugzilla
255592,General,normal,P3,Linux,bugzilla
255598,Shell Integration,major,P3,Windows XP,bugs
255644,General,trivial,P3,Windows XP,bugzilla
255652,General,normal,P3,Windows XP,bugzilla
255700,Bookmarks & History,major,P3,Windows 98,vladimir+bm
255763,General,normal,P3,Windows XP,bugzilla
255788,General,normal,P3,Linux,bugzilla
255801,Tabbed Browser,normal,P3,Windows XP,bugs
255817,General,minor,P3,Windows XP,bugzilla
255832,General,normal,P3,Windows XP,bugzilla
255846,Shell Integration,normal,P3,Linux,bugs
255851,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
255882,General,critical,P3,Windows 2000,bugzilla
255888,General,normal,P3,Windows 98,bugzilla
255907,General,normal,P3,Windows XP,bugzilla
255924,Bookmarks & History,normal,P3,Windows XP,bugzilla
255987,Migration,normal,P3,Windows XP,bugs
256055,Shell Integration,normal,P3,Windows XP,bugs
256064,General,minor,P3,Windows XP,bugzilla
256119,General,normal,P3,Windows XP,bugzilla
256152,General,major,P3,Linux,bugzilla
256186,General,normal,P3,Windows XP,bugzilla
256361,General,normal,P3,Windows XP,bugzilla
256377,General,minor,P3,Windows 98,bugzilla
256428,General,normal,P3,Mac OS X,bugs
256437,General,normal,P3,Linux,bugzilla
256500,General,minor,P3,Windows XP,bugzilla
256518,General,major,P3,Windows XP,bugzilla
256539,General,normal,P3,Windows 95,bugzilla
256568,General,normal,P3,Windows XP,bugzilla
256572,General,normal,P3,Windows XP,bugzilla
256602,General,major,P3,Mac OS X,bugzilla
256651,General,major,P3,Windows XP,bugs
256659,General,minor,P3,Windows XP,bugzilla
256774,General,normal,P3,Mac OS X,bugzilla
256786,General,normal,P3,Windows 98,bugzilla
256795,General,critical,P3,Windows XP,bugzilla
256864,General,normal,P3,Windows XP,bugzilla
256873,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
256923,General,critical,P3,Windows XP,bugzilla
256948,General,major,P3,Windows XP,bugzilla
257025,General,major,P3,Mac OS X,bugzilla
257029,Preferences,normal,P3,Windows XP,bugzilla
257042,General,normal,P3,Windows ME,bugs
257122,General,normal,P3,Windows 2000,bugzilla
257184,General,normal,P3,All,bugzilla
257222,General,normal,P3,Windows XP,bugzilla
257245,General,normal,P3,Linux,bugzilla
257357,Shell Integration,normal,P3,Linux,bugs
257439,Shell Integration,minor,P3,Linux,bugs
257459,General,normal,P3,Mac OS X,bugzilla
257643,File Handling,minor,P3,Windows XP,bugs
257750,General,major,P3,Linux,bugzilla
257770,General,normal,P3,Windows 2000,bugzilla
257969,Shell Integration,major,P3,Windows XP,bugs
258021,General,major,P3,Windows XP,bugzilla
258057,General,critical,P3,Linux,bugzilla
258161,General,major,P3,Windows XP,bugzilla
258162,General,major,P3,Windows 2000,bugzilla
258181,General,normal,P3,Linux,bugzilla
258269,General,major,P3,Linux,bugzilla
258271,General,minor,P3,Windows ME,bugzilla
258329,File Handling,normal,P3,Windows XP,bugs
258334,General,normal,P3,Windows XP,bugzilla
258385,Tabbed Browser,normal,P3,Windows 98,bugs
258422,General,major,P3,Windows XP,bugzilla
258436,General,major,P3,Windows XP,bugzilla
258633,General,normal,P3,Windows XP,bugzilla
258674,General,normal,P3,All,bugzilla
258690,Tabbed Browser,trivial,P3,Windows XP,bugs
258719,General,major,P3,All,bugzilla
258723,General,major,P3,Windows 98,bugzilla
258961,General,normal,P3,Windows XP,bugs
258965,Build Config,major,P3,Linux,bryner
258971,General,critical,P3,FreeBSD,bugzilla
259179,Preferences,normal,P3,All,bugzilla
259208,Preferences,normal,P3,Windows XP,bugzilla
259297,General,normal,P3,Linux,bugzilla
259301,General,critical,P3,Windows XP,bugzilla
259316,General,normal,P3,Windows XP,bugzilla
259330,General,normal,P3,Windows XP,bugzilla
259352,General,minor,P3,Windows 2000,bugzilla
259388,General,critical,P3,Linux,bugzilla
259420,General,normal,P3,Windows XP,bugzilla
259426,General,normal,P3,Linux,bugzilla
259432,General,normal,P3,Windows XP,bugzilla
259449,General,normal,P3,Linux,bugzilla
259456,Shell Integration,normal,P3,Windows XP,bugs
259600,General,critical,P3,Mac OS X,bugzilla
259608,General,normal,P3,Windows 98,bugzilla
259622,Shell Integration,normal,P3,Windows XP,bugs
259654,Location Bar,critical,P3,Windows XP,bugs
259665,General,normal,P3,Linux,bugzilla
259697,General,normal,P3,Linux,bugzilla
259762,General,normal,P3,Windows XP,bugzilla
259768,General,normal,P3,Windows 2000,bugs
259776,General,normal,P3,Linux,bugzilla
259824,General,normal,P3,Windows 2000,bugzilla
259850,General,normal,P3,Linux,bugzilla
259860,General,critical,P3,Linux,bugzilla
259877,General,normal,P3,Windows XP,bugzilla
259899,File Handling,normal,P3,Windows 2000,bugs
259940,General,critical,P3,Windows 2000,bugzilla
259994,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
260002,General,normal,P3,Windows 2000,bugzilla
260035,General,normal,P3,Windows NT,bugzilla
260062,General,normal,P3,Windows XP,general
260091,General,normal,P3,Windows XP,bugzilla
260103,Shell Integration,normal,P3,Linux,bugs
260153,General,normal,P3,Windows XP,bugzilla
260155,File Handling,major,P3,Windows XP,bugs
260204,General,normal,P3,Windows XP,bugzilla
260238,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
260255,General,major,P3,Linux,bugzilla
260258,General,major,P3,Linux,bugzilla
260286,General,major,P3,Windows XP,bugzilla
260321,General,critical,P3,Windows XP,bugzilla
260428,General,normal,P3,Linux,bugzilla
260438,General,minor,P3,Windows XP,bugzilla
260451,Bookmarks & History,critical,P3,Windows 98,vladimir+bm
260452,General,critical,P3,All,bugzilla
260537,Shell Integration,normal,P3,Windows XP,bugs
260565,General,major,P3,Windows 2000,bugzilla
260579,General,normal,P3,Windows XP,bugzilla
260613,General,normal,P3,Windows XP,bugzilla
260654,General,normal,P3,Windows XP,bugzilla
260695,General,normal,P3,Windows 2000,bugzilla
260721,General,major,P3,Windows XP,bugzilla
260768,General,normal,P3,Windows 98,bugzilla
260802,Migration,critical,P3,All,bugs
260826,Migration,normal,P3,Windows XP,bugs
260827,General,major,P3,Windows 2000,bugzilla
260851,Migration,normal,P3,Windows XP,bugs
260950,General,minor,P3,Windows 2000,bugzilla
260976,General,normal,P3,Windows 2000,bugzilla
261005,Bookmarks & History,major,P3,Windows XP,vladimir+bm
261019,General,normal,P3,Linux,bugzilla
261038,General,normal,P3,Windows 2000,bugzilla
261118,General,normal,P3,Windows XP,bugzilla
261122,Bookmarks & History,normal,P3,Windows 2000,bugzilla
261131,General,trivial,P3,Linux,bugzilla
261159,General,normal,P3,Windows 2000,bugzilla
261169,General,normal,P3,Windows 2000,bugzilla
261198,Migration,trivial,P3,Windows XP,bugs
261265,General,critical,P3,Windows XP,bugzilla
261292,General,critical,P3,Linux,bugzilla
261323,General,normal,P3,Windows 98,bugzilla
